pose_landmark,x,y,z,visibility
NOSE,0.5565165281295776,-0.4465980529785156,-0.07849612832069397,0.9999105930328369
LEFT_EYE_INNER,0.5696513652801514,-0.40762752294540405,-0.10166473686695099,0.9999076128005981
LEFT_EYE,0.5752599239349365,-0.41153913736343384,-0.10067902505397797,0.9998732805252075
LEFT_EYE_OUTER,0.5779212713241577,-0.4110274314880371,-0.09818939119577408,0.9999475479125977
RIGHT_EYE_INNER,0.5869085788726807,-0.4098004698753357,-0.08657589554786682,0.9999040365219116
RIGHT_EYE,0.5924957990646362,-0.4057089388370514,-0.08344689011573792,0.9998877048492432
RIGHT_EYE_OUTER,0.5754557847976685,-0.4074822664260864,-0.06972495466470718,0.9999370574951172
LEFT_EAR,0.5122279524803162,-0.2693566381931305,-0.15836913883686066,0.9999158382415771
RIGHT_EAR,0.5102577209472656,-0.2622183561325073,0.003080560825765133,0.999586284160614
MOUTH_LEFT,0.5240625739097595,-0.3975116014480591,-0.09526947140693665,0.9997608065605164
MOUTH_RIGHT,0.5186536312103271,-0.3900197744369507,-0.07058212161064148,0.9997530579566956
LEFT_SHOULDER,0.34729012846946716,-0.17362447082996368,-0.13703303039073944,0.9999891519546509
RIGHT_SHOULDER,0.4763268232345581,-0.17038175463676453,0.15453386306762695,0.9999003410339355
LEFT_ELBOW,0.3838827610015869,0.08096521347761154,-0.1836462914943695,0.8574492931365967
RIGHT_ELBOW,0.4847424626350403,0.08326055109500885,0.16062256693840027,0.0029453348834067583
LEFT_WRIST,0.4289018511772156,0.2754141390323639,-0.13725546002388,0.5023996829986572
RIGHT_WRIST,0.49954932928085327,0.31104058027267456,0.13671521842479706,0.0030146369244903326
LEFT_PINKY,0.46690818667411804,0.2857208251953125,-0.16696563363075256,0.4370526373386383
RIGHT_PINKY,0.5184274911880493,0.3716246485710144,0.10791046917438507,0.006370953284204006
LEFT_INDEX,0.4568745493888855,0.2791936993598938,-0.15322694182395935,0.42921391129493713
RIGHT_INDEX,0.5415788292884827,0.3587617874145508,0.10703270882368088,0.006496405228972435
LEFT_THUMB,0.42431461811065674,0.3046383857727051,-0.13889160752296448,0.2981923520565033
RIGHT_THUMB,0.4991465210914612,0.31090354919433594,0.11812551319599152,0.007549934554845095
LEFT_HIP,8.47778283059597e-05,-0.006727090571075678,-0.053721047937870026,0.9999750852584839
RIGHT_HIP,0.004992879461497068,0.003006092505529523,0.055396392941474915,0.9999737739562988
LEFT_KNEE,-0.08634363114833832,0.45475301146507263,-0.12595906853675842,0.19122858345508575
RIGHT_KNEE,0.13349880278110504,0.33762702345848083,0.12909922003746033,0.002645844593644142
LEFT_ANKLE,0.3883521854877472,0.4504179358482361,0.007973534055054188,0.02591179870069027
RIGHT_ANKLE,0.4438962936401367,0.3764631450176239,0.32589611411094666,0.004704347345978022
LEFT_HEEL,0.4354850649833679,0.4285869002342224,0.03838898241519928,0.048074036836624146
RIGHT_HEEL,0.4808499217033386,0.3652690649032593,0.31573447585105896,0.02696010284125805
LEFT_FOOT_INDEX,0.5797315239906311,0.3873969614505768,0.047276150435209274,0.06683709472417831
RIGHT_FOOT_INDEX,0.6299000978469849,0.39752092957496643,0.34285295009613037,0.015754085034132004
